idx,params_1,params_2,params_3,params_4,fitness_1,gen,train_params,archt_scores
0,7.0,29.0,18.0,3.0,6.4468,0.0,145032,2724.819353897952
1,5.0,21.0,20.0,26.0,6.494,0.0,317306,2339.160078784915
2,5.0,20.0,16.0,38.0,6.7427,0.0,412861,2308.2017652814757
3,4.0,21.0,9.0,19.0,6.669,0.0,215652,2011.740308276154
4,3.0,29.0,8.0,40.0,6.4249,0.0,598984,2051.4238906963474
5,5.0,22.0,27.0,39.0,6.5301,0.0,494043,2344.273292676371
6,3.0,14.0,8.0,47.0,6.8093,0.0,335359,1729.7495480799428
7,2.0,26.0,15.0,31.0,6.5533,0.0,421613,0.0
8,9.0,8.0,16.0,28.0,6.9193,0.0,123385,2166.115695004776
9,6.0,24.0,25.0,14.0,6.5094,0.0,252425,2574.4595102660323
10,9.0,20.0,19.0,34.0,6.4813,0.0,409261,2444.4842093730736
11,5.0,6.0,30.0,36.0,6.9401,0.0,116671,1809.6543955645993
12,1.0,7.0,28.0,26.0,7.6671,0.0,95448,0.0
13,1.0,24.0,20.0,22.0,7.47,0.0,274065,1276.743832626518
14,4.0,28.0,15.0,46.0,6.5401,0.0,688713,2382.4258989909613
15,2.0,11.0,23.0,15.0,6.7589,0.0,90666,0.0
16,4.0,30.0,9.0,35.0,6.9769,0.0,555521,2116.761347625417
17,8.0,7.0,7.0,21.0,7.4357,0.0,77358,0.0
18,9.0,20.0,8.0,20.0,6.8149,0.0,229381,2253.7363016811582
19,9.0,14.0,27.0,8.0,6.7716,0.0,106183,2523.4941168506825
20,9.0,15.0,22.0,14.0,6.4958,0.0,151616,2793.9376729936785
21,10.0,22.0,23.0,19.0,6.3932,0.0,319909,2643.0373397241833
22,8.0,7.0,24.0,25.0,6.7034,0.0,99649,2270.140954025662
23,6.0,23.0,12.0,19.0,6.6175,0.0,256279,2426.7884901598613
24,3.0,11.0,10.0,3.0,6.9555,0.0,21214,0.0
25,10.0,26.0,13.0,31.0,6.3497,0.0,489733,2764.407474205709
26,2.0,7.0,26.0,49.0,7.2518,0.0,177409,0.0
27,3.0,9.0,6.0,6.0,7.2019,0.0,29200,0.0
28,9.0,26.0,17.0,46.0,6.5755,0.0,699931,2621.415310681689
29,9.0,13.0,21.0,16.0,6.8806,0.0,138290,2433.341777200818
30,4.0,26.0,23.0,27.0,6.4233,0.0,410249,2471.591624466248
31,10.0,13.0,19.0,32.0,6.4235,0.0,242610,2596.1739447572495
32,6.0,7.0,15.0,40.0,7.2425,0.0,146618,1583.5708079691653
33,2.0,20.0,23.0,41.0,6.6542,0.0,429261,1802.411784448394
34,6.0,11.0,12.0,2.0,6.9238,0.0,21007,1842.7678280121654
35,5.0,8.0,27.0,15.0,7.4037,0.0,71573,1783.5117854020373
36,6.0,30.0,10.0,22.0,6.3628,0.0,381621,2634.033855211549
37,7.0,6.0,8.0,10.0,7.4383,0.0,32931,0.0
38,4.0,6.0,23.0,41.0,7.1108,0.0,129089,0.0
39,9.0,24.0,26.0,5.0,6.8227,0.0,192605,2883.534991509519
40,1.0,8.0,25.0,13.0,8.4775,0.0,56269,0.0
41,10.0,23.0,8.0,26.0,7.0649,0.0,341519,2872.867107646393
42,2.0,16.0,8.0,3.0,6.78,0.0,28701,-344.0927429009248
43,10.0,5.0,11.0,12.0,8.1702,0.0,33866,2162.124343254696
44,2.0,20.0,11.0,47.0,6.7874,0.0,479781,1670.2311659577513
45,1.0,26.0,5.0,35.0,7.9824,0.0,458327,9.785895416499827
46,7.0,24.0,8.0,17.0,6.6529,0.0,235997,2485.0040475394208
47,2.0,12.0,7.0,42.0,7.1482,0.0,255553,0.0
48,5.0,16.0,18.0,12.0,6.5737,0.0,120513,1968.1669677334257
49,1.0,21.0,19.0,3.0,8.5346,0.0,39562,0.0
50,10.0,8.0,27.0,26.0,7.0031,0.0,124473,2196.991280994763
51,4.0,13.0,16.0,47.0,6.8574,0.0,318765,1782.9901233972205
52,8.0,23.0,10.0,45.0,6.8798,0.0,560215,2836.8415989322216
53,4.0,29.0,6.0,44.0,6.5646,0.0,657615,2219.59137553095
54,3.0,10.0,15.0,34.0,6.7891,0.0,176711,1201.7980598483857
55,5.0,8.0,24.0,29.0,6.9827,0.0,126605,1919.7298700329097
56,3.0,5.0,20.0,44.0,7.1225,0.0,113896,0.0
57,7.0,23.0,21.0,20.0,6.4471,0.0,306876,2691.5086269044677
58,6.0,17.0,26.0,17.0,6.491,0.0,191353,2344.929297479526
59,3.0,22.0,27.0,1.0,6.4858,0.0,49103,2247.9208782995042
60,8.0,28.0,7.0,22.0,6.3486,0.0,351001,2675.834850875887
61,1.0,22.0,13.0,9.0,8.4495,0.0,104923,0.0
62,4.0,29.0,20.0,23.0,6.4993,0.0,396137,2306.3263345226883
63,10.0,14.0,26.0,23.0,6.5794,0.0,214745,2357.568552038826
64,10.0,25.0,24.0,9.0,6.4719,0.0,259931,2836.4973225752924
65,5.0,17.0,28.0,27.0,6.5112,0.0,272014,2370.956949686867
66,2.0,5.0,24.0,13.0,7.8536,0.0,35771,0.0
67,6.0,10.0,12.0,15.0,6.9265,0.0,83761,2090.2038196161666
68,8.0,17.0,27.0,44.0,6.5989,0.0,438818,2596.6167930420806
69,10.0,18.0,6.0,26.0,6.5043,0.0,254357,2087.9563145206366
70,10.0,18.0,29.0,43.0,6.7298,0.0,483045,2708.2821510996428
71,1.0,10.0,19.0,5.0,9.3569,0.0,28911,0.0
72,5.0,27.0,10.0,29.0,6.9863,0.0,426776,2457.7586282137736
73,9.0,20.0,22.0,39.0,6.4423,0.0,470161,2841.1472801343184
